artist_name,track_name,track_id,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
Mac Miller,Hand Me Downs,2Yv2mHzr5AQavVdwQjEokV,76,0.677,0.33,-11.198,0.149,0.474,0.000871,0.336,68.985
YoungBoy Never Broke Again,Lil Top,1aMokXl3uKDvCh4BBcjFOA,73,0.708,0.654,-6.76,0.369,0.0556,0,0.697,168.032
BTS,00:00 (Zero O’Clock),4AlihYDqxXshKhvh5tnMfP,81,0.566,0.548,-6.456,0.0579,0.0802,0,0.196,157.999
Dustin Lynch,Ridin’ Roads,2VPmBOuy7ZAOFSzKwW2IEt,74,0.547,0.817,-4.255,0.0448,0.0986,0,0.592,142.118
Chase Rice,Lonely If You Are,5TI10v8sy9VPp5YhVRVK1f,74,0.681,0.726,-5.1,0.0453,0.162,0,0.819,84.98
A Boogie Wit da Hoodie,Stain (feat. DaBaby),0dIz1I7IwX5ardG47AHxCZ,75,0.816,0.754,-3.911,0.389,0.0117,0,0.604,159.073
YNW Melly,Suicidal (Remix) [feat. Juice WRLD],4S2uhQE8L9V6p7rj7SiauJ,0,0.655,0.441,-5.245,0.0629,0.474,0,0.273,139.957
Jeremy Zucker,not ur friend,5T9S5x5hEOvgGKWysm683a,75,0.802,0.272,-10.563,0.412,0.309,0,0.669,68.969
5 Seconds of Summer,No Shame,5JSVa5i6lFPoyOzK4gj0Ox,80,0.576,0.815,-3.125,0.0361,0.0186,2.07E-06,0.445,90.972
BTS,We are Bulletproof : the Eternal,44WLOqH7QayQOQdeUHeKUK,81,0.526,0.575,-5.215,0.0309,0.225,0,0.19,84.047
BROCKHAMPTON,SUGAR (Remix) [feat. Dua Lipa],438wODjSTL2jgn1nePaNew,73,0.661,0.523,-5.902,0.0381,0.483,0,0.536,122.948
Nicky Jam,Muévelo,4VgYtXCVJ7IbWAZ5ryfvEQ,88,0.595,0.807,-2.409,0.0489,0.416,1.41E-05,0.919,188.081
Tame Impala,Borderline,5hM5arv9KDbCHS0k9uqwjr,77,0.621,0.873,-3.067,0.0369,0.0406,9.10E-06,0.873,97.96
Selena Gomez,Look At Her Now,7eOkHIcaoUhngxxypM5Ajr,81,0.753,0.564,-7.908,0.252,0.114,0.0273,0.55,77.342
Lil Yachty,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),7wsmIIm0xWmtP7TmACXkJn,70,0.836,0.617,-4.363,0.0534,0.17,0,0.866,138.065
Megan Thee Stallion,Savage,55CHeLEfn5iJ0IIkgaa4si,68,0.843,0.741,-5.609,0.334,0.0252,0,0.68,168.983
Carly Pearce,I Hope You’re Happy Now,0Al3wN3keprGTSgG8NBwjr,73,0.591,0.815,-4.725,0.0366,0.168,8.68E-06,0.306,118.024
BTS,Friends,7w05lsU2VLSeiT8Nukrv5M,81,0.55,0.747,-5.211,0.0407,0.0668,0,0.648,79.98
Mac Miller,Complicated,3WfSNAoj2D8C9noPSGZZFM,75,0.831,0.36,-8.073,0.052,0.136,0.00217,0.601,75.014
Maroon 5,Makes Me Wonder,1KWN3u3biwgo2ehX4vvzpt,0,0.795,0.865,-3.038,0.0368,0.00593,0.0002,0.859,114.001
Maroon 5,Sunday Morning,1MgwaRfvjTgNn3YKICO8ke,0,0.593,0.72,-6.469,0.0504,0.0842,0,0.815,88.054
Maroon 5,She Will Be Loved - Radio Mix,498hoPkJvU7Fbq0sv17HIq,0,0.7,0.71,-5.525,0.0295,0.0588,0,0.558,102.06
Breland,My Truck,1mpD5ioZ9479I6CuKxn3K9,75,0.883,0.299,-8.382,0.105,0.232,5.62E-06,0.551,136.985
Selena Gomez,Rare - Alexander 23 Edit,60xTyEfoVFgxmrKXb51dDi,67,0.529,0.378,-9.238,0.0384,0.6,1.51E-06,0.139,115.505
BTS,Inner Child,4BKOjYosPhw334moS3wlbO,80,0.589,0.696,-7.981,0.0725,0.017,0,0.332,134.953
Demi Lovato,Anyone,18ssFhD04lWo1RzpcohnrG,78,0.557,0.387,-6.338,0.0374,0.876,0,0.317,129.98
Mac Miller,Woods,3Qa944OTMZkg8DHjET8JQv,75,0.779,0.362,-10.847,0.0474,0.135,0.206,0.46,85.011
2 Chainz,NO TV,78KiqdSnQIGiJzOJRQMs8G,65,0.962,0.381,-9.194,0.546,0.0306,0,0.152,130.038
Lil Nas X,Rodeo - feat. Nas,7ikRId3U9AXd6tfF2fbItC,77,0.65,0.637,-6.195,0.0369,0.0814,0.000607,0.575,140.115
PARTYNEXTDOOR,LOYAL (feat. Drake and Bad Bunny) - Remix,6RbH4isVKIOg1OY1HvRqFc,77,0.877,0.529,-6.235,0.0461,0.479,0.00159,0.422,104.984
Jhay Cortez,Medusa,3qM0vBxIe4VUbK0Z0smuVP,85,0.886,0.604,-7.293,0.208,0.194,3.15E-06,0.383,98.023
BTS,Moon,1xfXXujIlLZAx5wpu46Nyk,80,0.703,0.646,-6.658,0.0596,0.0104,0,0.64,141.87
A Boogie Wit da Hoodie,King Of My City,3o0nkjyy6eZL5lZcEpvJec,74,0.48,0.679,-6.776,0.264,0.452,0,0.29,81.186
Eminem,Lock It Up (feat. Anderson .Paak),1qwMkkRiD5jqLeUUjfgblh,77,0.848,0.745,-3.052,0.221,0.0949,0,0.516,137.024
Polo G,First Place,5rSVQzJQ5nMUcFJDkJMfzL,74,0.656,0.566,-9.501,0.339,0.0125,0,0.563,137.215
Shawn Mendes,Don't Be A Fool,2Z5Zx0Oe9uLXN4z9M1yQSX,0,0.47,0.325,-6.054,0.0392,0.624,0,0.252,175.574
Shawn Mendes,Three Empty Words,5XWVPqqhXq2jzVJiLG0zqd,0,0.599,0.424,-9.818,0.0294,0.798,0,0.512,95.579
Mac Miller,I Can See,3R8CyhJfVjvgIROd5RSGhQ,74,0.699,0.503,-9.922,0.0882,0.391,0.0126,0.0546,114.86
A Boogie Wit da Hoodie,Thug Love,4MzhmCOgPB7xb87f1CXjlA,74,0.54,0.643,-4.707,0.288,0.428,0,0.328,178.125
Justin Bieber,Get Me,6zGPytJiZmFuyVq7RTNO9G,79,0.824,0.503,-6.94,0.156,0.05,5.25E-05,0.784,109.397
Tame Impala,Lost In Yesterday,5JWPUEov2wlX7c0jhYZpeB,77,0.569,0.84,-4.123,0.118,0.0295,0.000118,0.749,183.059
Megan Thee Stallion,Hit My Phone (feat. Kehlani),6DxQb1QXBymgaMBZJujxV2,66,0.831,0.627,-6.614,0.176,0.276,0,0.76,108.042
Trippie Redd,YELL OH,003VDDA7J3Xb2ZFlNx7nIZ,73,0.842,0.578,-6.05,0.138,0.00419,0,0.19,74.496
DaBaby,SHUT UP,3ekxXNSH4mgUnMprSnopls,74,0.871,0.555,-5.968,0.248,0.203,0,0.248,129.973
"Tyler, The Creator",BEST INTEREST,3jHdKaLCkuNEkWcLVmQPCX,74,0.596,0.575,-8.325,0.0514,0.0861,0.000153,0.34,98.265
Eminem,Leaving Heaven (feat. Skylar Grey),5CpsIb7SMFHjmAG8RvIWfq,78,0.661,0.748,-4.809,0.206,0.175,0,0.509,171.983
A Boogie Wit da Hoodie,Luv Is Art (feat. Lil Uzi Vert),0LVaWrTztFOuN7g7gcyLs8,73,0.489,0.554,-8.437,0.183,0.212,1.90E-06,0.331,86.584
Surfaces,Take It Easy,5Pgq1Gfeth2CuUhyCXwlfC,72,0.765,0.689,-5.616,0.0456,0.236,7.39E-06,0.497,144.958
Mac Miller,Surf,1kwnxJNVl7cwcU98RvMBaR,74,0.828,0.182,-13.066,0.166,0.754,0.0706,0.231,147.279
BTS,Interlude : Shadow,2Nib4r0saYQf2pUV4RFDhl,79,0.385,0.798,-6.439,0.483,0.115,0,0.141,149.756
Eminem,No Regrets (feat. Don Toliver),1lO9CZo6eDrOy0S7khgryG,77,0.756,0.747,-5.407,0.046,0.0048,0.00536,0.0687,134.935
Rich The Kid,Red,42wYsI2BUS9ABUnY9wZcGT,69,0.894,0.464,-6.618,0.371,0.175,0,0.583,81.084
BTS,Outro : Ego,3r9FFjLrAIQjoR8pSHVPC9,79,0.808,0.903,-3.106,0.0958,0.0121,0.000233,0.473,116.988
Rich The Kid,Money Talk,2YwC2IM0ykBxtMBH9aMe5m,73,0.8,0.631,-6.324,0.256,0.0308,0,0.627,154.984
Katy Perry,Never Worn White,3ksNHUNCTP6Pan8rjFnmtw,75,0.544,0.353,-7.275,0.0303,0.706,0,0.357,138.059
YoungBoy Never Broke Again,Knocked Off,7MYFKS7XpVz1JQDK38pr8N,71,0.752,0.653,-4.607,0.293,0.0647,0,0.569,165.046
Mac Miller,Everybody,1OuN92HcVG6NVpWbeESNB3,74,0.875,0.599,-9.077,0.138,0.0333,0.0143,0.112,152.061
J Balvin,Rojo,4uziEsK1yiqdauKVDPsmVG,86,0.652,0.595,-4.04,0.113,0.15,0.000115,0.444,172.27
Selena Gomez,Rare - Live From The Village Studio,2fVM2X8MHBmxMD9FLqjo4H,49,0.725,0.285,-8.234,0.0602,0.808,0,0.306,110.005
Megan Thee Stallion,Ain't Equal,29HQG5FmpUH5nWwHDF163B,64,0.848,0.847,-4.382,0.194,0.0497,0,0.447,100.022
Eminem,Marsh,34d7sGX6WUqq8f04e7CSNF,77,0.871,0.493,-6.356,0.205,0.0134,0.000241,0.0495,144.989
KYLE,YES! (feat. Rich The Kid & K CAMP),2tDrlnQWiCDis4H8RT0W2h,73,0.758,0.666,-8.086,0.14,0.0318,0.00405,0.699,162.083
Russ,CIVIL WAR - Bonus,0IUgswE9wJaY4QIQZEDTKe,75,0.923,0.597,-6.827,0.262,0.102,0,0.496,101.044
Megan Thee Stallion,Rich,0fdQue15BjCMA3ov14ubF4,63,0.963,0.799,-3.166,0.264,0.0246,0,0.965,104.016
Eminem,In Too Deep,7Dj2wqPYXfSRFwa6qyOztr,77,0.72,0.767,-5.839,0.214,0.0387,0,0.595,88.966
YoungBoy Never Broke Again,Bad Bad,2OUY5NdALupSoIQN9ZBH1a,71,0.682,0.809,-4.331,0.378,0.491,0,0.812,180.088
iann dior,Good Day,5pBQDRgfbV6lhuwlvWEftN,74,0.715,0.639,-6.947,0.105,0.627,0,0.443,82.466
Wiz Khalifa,Bammer (feat. Mustard),6ymh1cwisz2QJIuscyNsNk,49,0.58,0.744,-4.396,0.0536,0.0608,0,0.255,204.185
Lil Peep,drugz,3aWX8DMLmQCOGx6cHMPr6V,64,0.583,0.414,-11.211,0.0411,0.0491,0.000881,0.0515,98.017
Madison Beer,Selfish,4PV0uE5pZSh44E3NqNNDEH,76,0.378,0.461,-6.202,0.0275,0.627,0,0.232,75.363
